t,tf0,ts0
0.0,874.5568237304688,453.6975097656250
27.534,874.5572509765625,457.1456909179688
55.068,874.5568237304688,460.5697631835938
82.602,874.5561523437500,463.9709777832031
110.136,874.5555419921875,467.3424682617188
137.67,874.5559692382812,470.6933898925781
165.204,874.5557250976562,474.0217285156250
192.738,874.5540161132812,477.3262023925781
220.272,874.5540161132812,480.6028747558594
247.80599999999998,874.5540161132812,483.8567810058594
275.34,874.5538330078125,487.0892333984375
302.87399999999997,874.5525512695312,490.2964782714844
330.408,874.5521240234375,493.4836730957031
357.942,874.5529785156250,496.6428527832031
385.476,874.5518798828125,499.7776489257812
413.01,874.5518798828125,502.8949584960938
440.544,874.5508422851562,505.9866943359375
468.078,874.5504150390625,509.0543823242188
495.61199999999997,874.5510864257812,512.1027832031250
523.146,874.5499877929688,515.1278076171875
550.68,874.5491333007812,518.1290893554688
578.2139999999999,874.5485229492188,521.1072387695312
605.7479999999999,874.5487060546875,524.0657348632812
633.2819999999999,874.5474243164062,527.0021362304688
660.816,874.5474243164062,529.9170532226562
688.35,874.5472412109375,532.8108520507812
715.884,874.5474243164062,535.6789550781250
743.418,874.5465698242188,538.5292358398438
770.952,874.5465698242188,541.3578491210938
798.486,874.5459594726562,544.1645507812500
826.02,874.5459594726562,546.9513549804688
853.554,874.5448608398438,549.7136230468750
881.088,874.5448608398438,552.4592285156250
908.622,874.5444335937500,555.1826782226562
936.156,874.5435791015625,557.8875732421875
963.6899999999999,874.5440063476562,560.5664672851562
991.2239999999999,874.5433959960938,563.2292480468750
1018.7579999999999,874.5425415039062,565.8734130859375
1046.292,874.5422973632812,568.4943847656250
1073.826,874.5422973632812,571.0977172851562
1101.36,874.5412597656250,573.6800537109375
1128.894,874.5412597656250,576.2427978515625
1156.4279999999999,874.5416870117188,578.7858886718750
1183.962,874.5405883789062,581.3114624023438
1211.4959999999999,874.5397338867188,583.8157958984375
1239.03,874.5399780273438,586.2999267578125
1266.5639999999999,874.5388793945312,588.7679443359375
1294.098,874.5391235351562,591.2147827148438
1321.632,874.5380249023438,593.6450195312500
1349.166,874.5378417968750,596.0557861328125
1376.7,874.5380249023438,598.4487915039062
1404.234,874.5374145507812,600.8206176757812
1431.768,874.5369873046875,603.1758422851562
1459.302,874.5365600585938,605.5122680664062
1486.836,874.5367431640625,607.8308105468750
1514.37,874.5352783203125,610.1327514648438
1541.904,874.5357055664062,612.4153442382812
1569.4379999999999,874.5352783203125,614.6812133789062
1596.972,874.5344238281250,616.9287719726562
1624.5059999999999,874.5346679687500,619.1584472656250
