t,tf0,ts0
520392.6,871.9154256219465,803.426790990483
522870.66,872.6668253274368,845.3823593273424
525348.72,873.0153969625414,863.3413934142915
527826.78,873.5342765368849,866.8441294942658
530304.84,873.3665712728068,870.6348107329393
532782.9,873.5164314836536,871.3000263636294
535260.96,872.7793747342666,871.0221122543859
537739.02,871.8083205422895,872.4253530607624
540217.08,872.7112011561807,873.2464636965861
542695.14,872.9159130719196,874.1053089788887
545173.2,870.9912195828643,875.0606946685572
547651.26,870.7925211937074,874.7118412815348
550129.32,872.4433819716005,873.32198365141
552607.38,869.3793989323838,873.5957097130695
555085.44,872.7254659016783,873.3674737851995
557563.5,873.3925676091797,872.278036798261
560041.5599999999,871.2046215659182,872.1252870506378
562519.62,870.6922682321282,872.0750347014501
564997.6799999999,870.5014473889923,870.6304031506027
567475.74,866.7077724324381,867.0122720054896
569953.7999999999,858.2836559375708,861.6812125111694
572431.86,844.3853988214307,851.9846411381399
574909.9199999999,825.584756459198,837.258285832964
577387.98,803.0309033526049,818.2147173500614
579866.0399999999,775.2386092342648,794.3580837320258
582344.1,742.920175024301,765.1925224668958
584822.16,734.7943711602221,739.439500162172
587300.22,736.9906553230724,734.2780608168321
589778.28,736.9137916776714,732.0842753670806
592256.34,734.901719561764,729.4284621436251
594734.4,729.1871486755712,726.0988292159143
597212.46,726.5504345210634,725.0403930691072
599690.52,725.1596587678403,722.7663001182008
602168.58,722.8424610083695,721.5292808939646
